word,phon_klattese,nSyll,polysyll,nonInitialPrimaryStress,SUBTLwf,#NAME?,SUBTLWF0to10,fam,conc,imag
a,^,1,0,0,20415.27451,-2.40E-09,9.999999976,632,201,217
aaron,Eˈ-r^n,2,0,0,14.64705882,-0.004661215,9.953387849,,,
ab,@ˈb,1,0,0,1.470588235,-0.4624,5.376,,,
abandon,^-b@ˈn-d^n,3,1,1,8.098039216,-0.015248961,9.847510392,510,0,395
abandoned,^-b@ˈn-d^nd,3,1,1,13.29411765,-0.005658235,9.943417652,,,
abandoning,^-b@ˈn-d^-nIG,4,1,1,1.68627451,-0.351676582,6.483234181,,,
abbey,@ˈ-bi,2,0,0,3.176470588,-0.099108368,9.008916324,,,
abbott,@ˈ-b^t,2,0,0,7.862745098,-0.016175273,9.838247275,,,
abby,@ˈ-bi,2,0,0,12.49019608,-0.006410051,9.93589949,,,
abdomen,@b-doˈ-m^n,3,1,1,3.352941176,-0.088950446,9.110495537,426,586,548
abdominal,@b-daˈ-m^-n^l,4,1,1,3.411764706,-0.085909631,9.140903686,,,
abducted,@b-d^ˈk-tId,3,1,1,5,-0.04,9.6,,,
abduction,@b-d^ˈk-S^n,3,1,1,3.62745098,-0.075997078,9.240029218,413,337,463
abel,eˈ-b^l,2,0,0,1.333333333,-0.5625,4.375,,,
abide,^-bYˈd,2,0,1,2.705882353,-0.13657845,8.634215501,,,
abigail,@ˈ-b^-geˌl,3,1,0,3.019607843,-0.109672795,8.903272053,,,
abilene,@ˈ-bI-liˌn,3,1,0,1.333333333,-0.5625,4.375,,,
abilities,^-bIˈ-l^-tiz,4,1,1,6.117647059,-0.026719675,9.732803254,,,
ability,^-bIˈ-l^-ti,4,1,1,19.21568627,-0.002708247,9.972917534,563,273,327
able,eˈ-b^l,2,0,0,159.9019608,-3.91E-05,9.999608896,575,302,284
abner,@ˈb-nR,2,0,0,3.37254902,-0.087919145,9.120808545,,,
abnormal,@b-ncˈr-m^l,3,1,1,2.901960784,-0.118745435,8.812545654,,,
aboard,^-bcˈrd,2,0,1,26.62745098,-0.001410395,9.985896048,,,
abomination,^-baˌ-m^-neˈ-S^n,5,1,1,1.137254902,-0.773186683,2.268133175,,,
abort,^-bcˈrt,2,0,1,4.607843137,-0.047098234,9.529017655,,,
abortion,^-bcˈr-S^n,3,1,1,7.235294118,-0.019102386,9.808976139,,,
about,^-bWˈt,2,0,1,3631.490196,-7.58E-08,9.999999242,593,227,225
above,^-b^ˈv,2,0,1,48.88235294,-0.0004185,9.995814997,607,,346
abracadabra,@ˌ-br^-k^-d@ˈ-br^,5,1,1,1.039215686,-0.925952296,0.740477038,,,
abraham,eˈ-br^-h@ˌm,3,1,0,5.176470588,-0.037319215,9.626807851,,,
abrasions,^-breˈ-Z^nz,3,1,1,1.098039216,-0.82940051,1.705994898,,,
abroad,^-brcˈd,2,0,1,4.901960784,-0.041616,9.58384,,,
abrupt,^-br^ˈpt,2,0,1,1.137254902,-0.773186683,2.268133175,486,266,362
abs,eˈ-biˈ-Eˈs,3,1,0,1.058823529,-0.891975309,1.080246914,,,
absence,@ˈb-s^ns,2,0,0,6.31372549,-0.025085838,9.749141623,,,
absent,@ˈb-s^nt,2,0,0,2.568627451,-0.151564594,8.484354059,,,
absolute,@ˈb-s^-luˌt,3,1,0,11.31372549,-0.007812477,9.921875235,495,,268
absolutely,@ˌb-s^-luˈt-li,4,1,1,113.1176471,-7.82E-05,9.999218481,,,
absorb,^b-zcˈrb,2,0,1,1.980392157,-0.254975002,7.450249975,,,
absorbed,^b-zcˈrbd,2,0,1,1.529411765,-0.427514793,5.724852071,,,
abstract,@b-str@ˈkt,2,0,1,2.176470588,-0.211102995,7.888970051,,,
absurd,^b-sRˈd,2,0,1,9.705882353,-0.010615243,9.893847567,,,
abu,@ˈ-bu,2,0,0,2.568627451,-0.151564594,8.484354059,,,
abuse,^-byuˈs,2,0,1,10.25490196,-0.009509047,9.904909534,450,,
abused,^-byuˈzd,2,0,1,4.529411765,-0.048743464,9.512565357,,,
abusing,^-byuˈ-zIG,3,1,1,1.196078431,-0.699005644,3.009943564,,,
abusive,^-byuˈ-sIv,3,1,1,1.62745098,-0.377558426,6.224415735,,,
abyss,^-bIˈs,2,0,1,1.764705882,-0.321111111,6.788888889,293,450,453
ac,eˈ-siˈ,2,0,0,2.156862745,-0.214958678,7.850413223,,,
academic,@ˌ-k^-dEˈ-mIk,4,1,1,4.666666667,-0.045918367,9.540816327,,,
academy,^-k@ˈ-d^-mi,4,1,1,12.41176471,-0.006491319,9.935086813,509,499,504
acapulco,@ˌ-k^-pUˈl-ko,4,1,1,1.607843137,-0.386823319,6.131766805,,,
accelerate,@k-sEˈ-lR-eˌt,4,1,1,1.274509804,-0.615621302,3.843786982,,,
accelerator,@k-sEˈ-lR-eˌ-tR,5,1,1,1.352941176,-0.5463138,4.536862004,,,
accent,^k-sEˈnt,2,0,1,12.17647059,-0.006744615,9.932553852,,,
accents,@ˈk-sEnts,2,0,0,1.137254902,-0.773186683,2.268133175,,,
accept,@k-sEˈpt,2,0,1,52.78431373,-0.000358914,9.996410861,,,
acceptable,@k-sEˈp-t^-b^l,4,1,1,5.274509804,-0.035944777,9.640552231,521,,288
acceptance,@k-sEˈp-t^ns,3,1,1,3.156862745,-0.100343351,8.99656649,,,
accepted,@k-sEˈp-tId,3,1,1,15.70588235,-0.004053921,9.959460786,,,
accepting,@k-sEˈp-tIG,3,1,1,4.039215686,-0.061292299,9.38707701,,,
accepts,@k-sEˈpts,2,0,1,2.078431373,-0.231488074,7.68511926,,,
access,@ˈk-sEˌs,2,0,0,31.66666667,-0.00099723,9.990027701,,,
accessed,@ˈk-sEˌst,2,0,0,1.529411765,-0.427514793,5.724852071,,,
accessible,@k-sEˈ-s^-b^l,4,1,1,1.098039216,-0.82940051,1.705994898,,,
accessing,@ˈk-sEˌ-sIG,3,1,0,1.039215686,-0.925952296,0.740477038,,,
accessories,@k-sEˈ-sR-iz,4,1,1,1.490196078,-0.450311634,5.496883657,,,
accessory,@k-sEˈ-sR-i,4,1,1,2.882352941,-0.120366514,8.79633486,,,
accident,@ˈk-s^-d^nt,3,1,0,81.29411765,-0.000151315,9.998486851,564,419,518
accidental,@ˌk-s^-dEˈn-t^l,4,1,1,3,-0.111111111,8.888888889,,,
accidentally,@ˌk-s^-dEˈn-t^-li,5,1,1,8.803921569,-0.012901722,9.870982783,,,
accidents,@ˈk-s^-d^nts,3,1,0,6.666666667,-0.0225,9.775,,,
accommodate,^-kaˈ-m^-deˌt,4,1,1,2.137254902,-0.218920966,7.810790338,,,
accommodations,^-kaˌ-m^-deˈ-S^nz,5,1,1,1.666666667,-0.36,6.4,,,
accompanied,^-k^ˈm-p^-nid,4,1,1,2.058823529,-0.235918367,7.640816327,,,
accompany,^-k^ˈm-p^-ni,4,1,1,4.745098039,-0.04441295,9.555870501,,,
accomplice,^-kaˈm-pl^s,3,1,1,4.235294118,-0.055748457,9.442515432,446,395,391
accomplices,^-kaˈm-pl^-s^z,4,1,1,1.137254902,-0.773186683,2.268133175,,,
accomplish,^-kaˈm-plIS,3,1,1,5.843137255,-0.029289221,9.707107788,,,
