Word,Lg10WF,Lg10CD,Dom_PoS_SUBTLEX,Percentage_dom_PoS,Zipf-value,Klattese
a,6.017525817,3.923399466,Article,0.960657751,7.309359959,^
aaa,1.414973348,1.380211242,Name,0.8,2.70680749,trIˌ-p^-leˈ
aardvark,1.342422681,1.113943352,Noun,0.761904762,2.634256823,aˈrd-vaˌrk
aaron,2.873901598,2.212187604,Name,1,4.16573574,Eˈ-r^n
ab,1.880813592,1.716003344,Unclassified,0.780821918,3.172647734,@ˈb
aback,1.204119983,1.204119983,Adverb,1,2.495954125,^-b@ˈk
abacus,1.113943352,1.041392685,Noun,0.916666667,2.405777494,@ˈ-b^-k^s
abalone,1.431363764,1.079181246,Verb,0.538461538,2.723197906,@ˌ-b^-loˈ-ni
abandon,2.617000341,2.495544338,Verb,0.956416465,3.908834483,^-b@ˈn-d^n
abandoned,2.831869774,2.731588765,Verb,0.705882353,4.123703916,^-b@ˈn-d^nd
abandoning,1.939519253,1.903089987,Verb,1,3.231353395,^-b@ˈn-d^-nIG
abandonment,1.698970004,1.662757832,Noun,1,2.990804146,^-b@ˈn-d^n-m^nt
abandons,1.176091259,1.176091259,Verb,1,2.467925401,^-b@ˈn-d^nz
abate,0.77815125,0.602059991,Verb,0.8,2.069985393,^-beˈt
abated,0.698970004,0.698970004,Verb,1,1.990804146,^-beˈ-tId
abatement,0.602059991,0.602059991,Noun,1,1.893894133,^-beˈt-m^nt
abates,0.477121255,0.477121255,Verb,1,1.768955397,^-beˈts
abating,0.301029996,0.301029996,Verb,1,1.592864138,^-beˈ-tIG
abba,1,0.954242509,Name,0.777777778,2.291834142,@ˈ-b^
abbas,0.77815125,0.477121255,Name,1,2.069985393,^-baˈs
abbe,0.477121255,0.477121255,Name,1,1.768955397,@ˈ-bi
abbey,2.212187604,1.73239376,Noun,0.938271605,3.504021747,@ˈ-bi
abbot,1.643452676,1.397940009,Name,0.511627907,2.935286819,@ˈ-b^t
abbott,2.604226053,2.117271296,Name,0.997481108,3.896060195,@ˈ-b^t
abbreviate,0.301029996,0.301029996,Verb,1,1.592864138,^-briˈ-vi-eˌt
abbreviated,1.230448921,1.176091259,Adjective,0.75,2.522283064,^-briˈ-vi-eˌ-t^d
abbreviation,1.113943352,0.954242509,Noun,1,2.405777494,^-briˌ-vi-eˈ-S^n
abbreviations,1.041392685,0.954242509,Noun,1,2.333226827,^-briˌ-vi-eˈ-S^nz
abby,2.804820679,2.012837225,Name,1,4.096654821,@ˈ-bi
abdicate,1,1,Verb,1,2.291834142,@ˈb-d^-keˌt
abdicated,0.903089987,0.903089987,Verb,1,2.194924129,@ˈb-d^-keˌ-t^d
abdicates,0.301029996,0.301029996,Noun,1,1.592864138,@ˈb-d^-keˌts
abdicating,0.602059991,0.602059991,Verb,1,1.893894133,@ˈb-dI-keˌ-tIG
abdication,0.84509804,0.84509804,Noun,1,2.136932182,@ˌb-dI-keˈ-S^n
abdomen,2.235528447,2.089905111,Noun,1,3.527362589,@b-doˈ-m^n
abdominal,2.243038049,2.021189299,Adjective,1,3.534872191,@b-daˈ-m^-n^l
abduct,1.568201724,1.51851394,Verb,0.944444444,2.860035866,@b-d^ˈkt
abducted,2.408239965,2.247973266,Verb,0.94488189,3.700074107,@b-d^ˈk-tId
abductee,1.322219295,1.079181246,Noun,1,2.614053437,@b-d^ˌk-tiˈ
abductees,1.278753601,1.146128036,Noun,1,2.570587743,@b-d^ˌk-tiˈz
abducting,1.230448921,1.146128036,Verb,1,2.522283064,@b-d^ˈk-tIG
abduction,2.269512944,2.049218023,Noun,1,3.561347086,@b-d^ˈk-S^n
abductions,1.633468456,1.361727836,Noun,1,2.925302598,@b-d^ˈk-S^nz
abductor,1.278753601,1.146128036,Noun,0.944444444,2.570587743,@b-d^ˈk-tX
abductors,1.079181246,0.954242509,Noun,1,2.371015388,@b-d^ˈk-tXz
abducts,0.954242509,0.954242509,Verb,1,2.246076652,@b-d^ˈkts
abed,1.041392685,1,Adverb,1,2.333226827,^-bEˈd
abel,1.838849091,1.397940009,Name,0.970588235,3.130683233,eˈ-b^l
abele,0.301029996,0.301029996,Noun,1,1.592864138,^-biˈl
abend,1,0.84509804,Noun,0.666666667,2.291834142,@ˈ-bEnd
aberdeen,1.255272505,1.113943352,Name,1,2.547106647,@ˈ-bX-diˌn
abernethy,0.301029996,0.301029996,Name,1,1.592864138,@ˈ-bX-nEˌ-Ti
aberrant,1.204119983,1.146128036,Adjective,0.8,2.495954125,@-bEˈ-r^nt
aberration,1.462397998,1.431363764,Noun,1,2.75423214,@ˌ-bX-eˈ-S^n
